category,manufacturer,supplier,industry,lifecycle,part_count,total_spend,avg_lead_wks,risk_flag_count
Analog IC,Infineon,Avnet,Financial Services,NRND,2,316913.06,34.0,2
Analog IC,Infineon,Digi-Key,Automotive,Active,1,1386.0,37.0,1
Analog IC,Infineon,Digi-Key,Financial Services,Active,1,18220.8,36.0,1
Analog IC,Infineon,Future Electronics,Financial Services,EOL,2,320617.4,55.0,2
Analog IC,Infineon,Future Electronics,Industrial Automation,Active,1,232779.48,9.0,0
Analog IC,Infineon,Mouser,Renewable Energy,Obsolete,2,274910.12,38.0,2
Analog IC,Microchip,Avnet,Consumer Electronics,Active,1,249511.59,42.0,1
Analog IC,Microchip,Avnet,Medical,NRND,2,661840.68,33.0,2
Analog IC,Microchip,Digi-Key,Renewable Energy,Obsolete,2,756554.98,53.0,2
Analog IC,Microchip,Future Electronics,Industrial Automation,Active,1,23149.95,9.0,0
Analog IC,Microchip,Mouser,Medical,Active,1,205725.7,47.0,1
Analog IC,Microchip,Mouser,Renewable Energy,Active,1,273104.48,11.0,0
Analog IC,NXP,Arrow Electronics,Renewable Energy,Active,1,376233.09,22.0,0
Analog IC,NXP,Avnet,Industrial Automation,NRND,2,399139.56,51.0,2
Analog IC,NXP,Digi-Key,Consumer Electronics,Active,1,96772.61,38.0,1
Analog IC,NXP,Mouser,Medical,Active,1,167544.33,9.0,0
Analog IC,NXP,PT Solutions,Renewable Energy,Active,1,3902.09,42.0,1
Analog IC,ON Semiconductor,Arrow Electronics,Medical,NRND,1,143767.48,16.0,1
Analog IC,ON Semiconductor,Avnet,Automotive,NRND,2,221548.96,46.0,2
Analog IC,ON Semiconductor,PT Solutions,Medical,Active,1,31660.1,28.0,0
Analog IC,ROHM,Avnet,Consumer Electronics,Active,1,92393.58,7.0,0
Analog IC,ROHM,Digi-Key,Automotive,Obsolete,2,4914.72,50.0,2
Analog IC,ROHM,Mouser,Automotive,Active,1,181152.44,38.0,1
Analog IC,ROHM,Mouser,Financial Services,Obsolete,2,48769.02,63.0,2
Analog IC,ROHM,Mouser,Medical,Active,1,337069.7,10.0,0
Analog IC,ROHM,PT Solutions,Automotive,Active,1,195480.37,39.0,1
Analog IC,Renesas,Arrow Electronics,Medical,NRND,1,179350.5,14.0,1
Analog IC,Renesas,Avnet,Consumer Electronics,Active,1,178075.96,33.0,1
Analog IC,Renesas,Digi-Key,Automotive,Active,1,22144.85,14.0,0
Analog IC,Renesas,Digi-Key,Financial Services,NRND,2,53091.22,48.0,2
Analog IC,STMicroelectronics,Mouser,Industrial Automation,Active,1,179122.5,47.0,1
Analog IC,Texas Instruments,Arrow Electronics,Automotive,NRND,2,135642.86,52.0,2
Analog IC,Texas Instruments,Arrow Electronics,Consumer Electronics,Active,1,372273.9,20.0,0
Analog IC,Texas Instruments,Avnet,Medical,EOL,2,73170.96,32.0,2
Analog IC,Texas Instruments,Mouser,Industrial Automation,Active,1,319764.9,50.0,1
Analog IC,Vishay,Arrow Electronics,Renewable Energy,EOL,2,1036288.92,43.0,2
Analog IC,Vishay,Avnet,Industrial Automation,Active,1,151075.88,15.0,0
Analog IC,Vishay,Avnet,Medical,Active,1,74217.1,9.0,0
Analog IC,Vishay,Avnet,Renewable Energy,NRND,1,275182.88,19.0,1
Analog IC,Vishay,Mouser,Financial Services,Obsolete,2,1571730.38,50.0,2
Analog IC,Vishay,PT Solutions,Renewable Energy,Active,1,172424.95,18.0,0
Connectivity,Infineon,Arrow Electronics,Financial Services,Active,1,72774.29,19.0,0
Connectivity,Infineon,Arrow Electronics,Industrial Automation,EOL,2,272338.56,45.0,2
Connectivity,Infineon,Digi-Key,Consumer Electronics,Active,1,248310.72,18.0,0
Connectivity,Infineon,Digi-Key,Renewable Energy,Active,1,151991.26,51.0,1
Connectivity,Infineon,Future Electronics,Renewable Energy,EOL,2,246123.38,56.0,2
Connectivity,Infineon,Mouser,Automotive,NRND,2,242106.58,47.0,2
Connectivity,Infineon,Mouser,Automotive,Obsolete,2,1534502.48,37.0,2
Connectivity,Infineon,Mouser,Renewable Energy,EOL,1,1302851.44,24.0,1
Connectivity,Infineon,PT Solutions,Consumer Electronics,NRND,1,352544.28,24.0,1
Connectivity,Microchip,Arrow Electronics,Automotive,EOL,2,498475.28,45.0,2
Connectivity,Microchip,Arrow Electronics,Financial Services,Active,1,179089.43,33.0,1
Connectivity,Microchip,Avnet,Consumer Electronics,NRND,2,278922.32,21.0,2
Connectivity,Microchip,Avnet,Industrial Automation,NRND,1,260452.33,18.0,1
Connectivity,Microchip,Digi-Key,Renewable Energy,NRND,2,78209.74,37.0,2
Connectivity,Microchip,Future Electronics,Renewable Energy,Active,1,318808.64,18.0,0
Connectivity,Microchip,Mouser,Financial Services,EOL,2,214061.16,59.0,2
Connectivity,Microchip,Mouser,Industrial Automation,Active,1,113134.66,8.0,0
Connectivity,Microchip,PT Solutions,Financial Services,EOL,2,175993.32,60.0,2
Connectivity,Microchip,PT Solutions,Renewable Energy,EOL,2,483020.42,45.0,2
Connectivity,NXP,Arrow Electronics,Automotive,NRND,2,20766.16,40.0,2
Connectivity,NXP,Avnet,Renewable Energy,Active,1,38144.21,40.0,1
Connectivity,NXP,Future Electronics,Industrial Automation,NRND,2,133514.28,35.0,2
Connectivity,ON Semiconductor,Future Electronics,Medical,Active,1,55598.2,21.0,0
Connectivity,ON Semiconductor,Mouser,Medical,NRND,1,91717.29,18.0,1
Connectivity,ON Semiconductor,PT Solutions,Consumer Electronics,NRND,1,173662.22,23.0,1
Connectivity,ON Semiconductor,PT Solutions,Financial Services,Active,1,50150.4,21.0,0
Connectivity,ROHM,Arrow Electronics,Medical,Obsolete,1,180331.14,26.0,1
Connectivity,ROHM,Avnet,Consumer Electronics,NRND,1,39060.29,30.0,1
Connectivity,ROHM,PT Solutions,Medical,EOL,1,591749.77,21.0,1
Connectivity,Renesas,Arrow Electronics,Industrial Automation,NRND,2,36279.6,45.0,2
Connectivity,Renesas,Mouser,Medical,Active,1,3453.03,35.0,1
Connectivity,STMicroelectronics,Arrow Electronics,Consumer Electronics,Active,1,115651.65,44.0,1
Connectivity,STMicroelectronics,Digi-Key,Financial Services,Active,1,13855.22,47.0,1
Connectivity,STMicroelectronics,Digi-Key,Renewable Energy,NRND,2,64129.42,37.0,2
Connectivity,STMicroelectronics,Future Electronics,Financial Services,Active,1,147006.96,47.0,1
Connectivity,STMicroelectronics,Future Electronics,Renewable Energy,Active,1,129055.04,13.0,0
