id,part_number,risk_type,severity,note,flagged_at
1,REN-7912-A,Lifecycle,HIGH,Part is EOL — source alternative now,2026-05-25
2,ST-8359-E,Lifecycle,HIGH,Part is Obsolete — source alternative now,2026-05-25
3,ST-8359-E,Lead Time,HIGH,37 week lead time — consider safety stock,2026-05-25
4,TI-2519-D,Lead Time,HIGH,52 week lead time — consider safety stock,2026-05-25
5,MCH-2169-E,Lead Time,HIGH,48 week lead time — consider safety stock,2026-05-25
6,REN-4598-C,Lead Time,HIGH,44 week lead time — consider safety stock,2026-05-25
7,ST-9179-D,Lifecycle,MEDIUM,Not Recommended for New Designs — plan replacement,2026-05-25
8,ST-9179-D,Lead Time,HIGH,40 week lead time — consider safety stock,2026-05-25
9,MCH-8019-E,Lead Time,HIGH,38 week lead time — consider safety stock,2026-05-25
10,REN-2040-D,Lifecycle,HIGH,Part is Obsolete — source alternative now,2026-05-25
11,REN-2040-D,Lead Time,HIGH,32 week lead time — consider safety stock,2026-05-25
12,MCH-6573-A,Lifecycle,HIGH,Part is Obsolete — source alternative now,2026-05-25
13,MCH-6573-A,Lead Time,HIGH,63 week lead time — consider safety stock,2026-05-25
14,REN-2743-C,Lead Time,HIGH,36 week lead time — consider safety stock,2026-05-25
15,REN-6310-D,Lead Time,HIGH,37 week lead time — consider safety stock,2026-05-25
16,MCH-6107-D,Lifecycle,HIGH,Part is Obsolete — source alternative now,2026-05-25
17,MCH-6107-D,Lead Time,HIGH,56 week lead time — consider safety stock,2026-05-25
18,REN-4608-A,Lifecycle,HIGH,Part is Obsolete — source alternative now,2026-05-25
19,REN-4608-A,Lead Time,HIGH,33 week lead time — consider safety stock,2026-05-25
20,ST-4139-B,Lifecycle,HIGH,Part is EOL — source alternative now,2026-05-25
21,IFX-1960-B,Lead Time,HIGH,34 week lead time — consider safety stock,2026-05-25
22,ST-4111-C,Lifecycle,MEDIUM,Not Recommended for New Designs — plan replacement,2026-05-25
23,ST-4111-C,Lead Time,HIGH,46 week lead time — consider safety stock,2026-05-25
24,ST-1931-E,Lifecycle,HIGH,Part is EOL — source alternative now,2026-05-25
25,ST-1931-E,Lead Time,HIGH,65 week lead time — consider safety stock,2026-05-25
26,REN-2343-D,Lifecycle,HIGH,Part is EOL — source alternative now,2026-05-25
27,REN-4492-E,Lifecycle,MEDIUM,Not Recommended for New Designs — plan replacement,2026-05-25
28,MCH-5956-E,Lead Time,HIGH,32 week lead time — consider safety stock,2026-05-25
